name,address,website,normal_score
Uncle's Burger & Bar,"Lindwurmstr. 205, 80337 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10319563,2.5
Del Fiore Gelato - Maxvorstadt,"Schellingstr. 60, 80799 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10323529,5.0
Duca Jacampo Ristorante,"Arnulfstr. 197, 80634 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10333931,1.0
Gangundgabe,"Kapuzinerstrasse 12, 80337 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10335269,5.0
Bar Gabanyi,"Beethovenplatz 2, 80336 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10335314,4.0
Bodeguita,"Hohenzollernstr. 120, 80796 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10338013,4.0
Konditorei - Cafe Grass,"Plinganserstrasse 36, 81369 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10347874,4.0
Brezelina,"Marienplatz U-Bahnstation Marienplatz, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10353046,4.5
Rawkus Munich Smoothies X Bowls,"Merianstr. 8, 80637 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10354466,
Eiscafe Eisfreunde,"Implerstr. 88, 81371 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10357341,3.5
Kuchlverzeichnis,"Rosenheimer Str. 10, 81669 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1036040,4.0
La Cicchetteria,"Innere Wiener Str. 38, 81667 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1036160,4.0
Brunnergarten,"Schleissheimer Str. 280B, 80809 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10371577,4.0
MUN MUN - Thai Cooking,"Münchner Freiheit 18, 80802 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10372782,4.5
Caffe Classico,"Praelat-Zistl-Str. 12 Viktualienmarkt, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10375106,4.5
Foodkom,"Rumfordstr. 32, 80469 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10375729,
Trattoria Italiana Bistro,"Bahnhofplatz 7 Karlsplatz, 80335 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10382459,4.5
Gery's Feinkost Oase,"Schleibingerstr. 11, 81669 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10388502,5.0
Gastro Wolf GmbH,"Mariahilfplatz 4, 81541 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10391481,
Seidelei,"Reitmorstraße 3, 80538 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10393560,4.5
Corretto,"Haldenbergerstr. 28, 80997 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039552,3.5
Olive,"Oertelplatz 1, 80999 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039554,3.5
RestaurantCafe im Karstadt-Sport,"Neuhauser Str. 18, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039557,3.5
BAR Muenchen,"Maximilianstr. 36, 80539 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039558,4.0
Albarone,"Stollbergstr. 22, 80539 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039560,4.5
El Perro y El Griego,"Belfortstr. 14, 81667 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039562,3.5
Dal Cavaliere,"Weissenburger Str. 3, 81667 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039565,3.5
Hinterhofcafe,"Sedanstr. 29, 81667 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039566,4.0
Il Padrino,"Kirchenstr. 44, 81675 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039568,4.0
Landgasthof Deutsche Eiche,"Ranertstr. 1, 81249 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039569,3.5
Langwieder See,"Kreuzkapellenstr. 89, 81249 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039571,2.5
Kleines Brauhaus Dicker Mann,"Heinrich-Wieland-Str. 11, 81735 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039572,3.5
Restaurant Tiffany,"Effnerstr. 99, 81925 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039576,4.5
Ristorante Caruso,"Fritz-Meyer-Weg 55, 81925 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039578,4.0
Catwalk,"Mauerkircherstr. 2, 81679 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039580,4.0
Champor,"Warthestr. 5 Ecke Denningenstraße, 81927 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039581,4.5
Da Baffo,"Ismaninger Str. 108, 81675 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039582,4.5
Dionysos,"Fritz-Meyer-Weg 55, 81925 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039584,4.0
Freisinger Hof,"Oberfoehringer Str. 189, 81925 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039586,4.5
Eschengarten,"Ebereschenstr. 17, 80935 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039588,3.5
Sidhartha,"Wolfratshauser Str. 211, 81479 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039592,4.0
Faros,"Stiftsbogen 37, 81375 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039594,3.0
Trattoria Quattro Mori,"Heiglhofstr. 3, 81377 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039595,4.0
CA`D`ORO,"Bayerstr. 31 Ecke Senefelderstrasse, 80335 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039598,4.0
Rasoi,"Adolf-Kolping-Str. 16, 80336 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039599,3.5
Anesis,"Schmellerstr. 14, 80337 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039600,4.5
Atlantik Fisch Restaurant,"Zenettistr. 12, 80337 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039601,4.0
Friulana Restaurant,"Zenettistr. 42, 80337 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039604,4.5
Zum Koreaner,"Amalienstr. 51, 80799 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039606,4.0
Al Torchio Trattoria Vinoteca,"Amalienstr. 42, 80799 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039608,4.5
Goloseo,"Ingolstaedter Str. 44, 80807 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039609,4.0
La Casina,"Frohschammerstr. 14, 80807 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039610,4.0
Maxim,"Riesenfeldstr. 14, 80809 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039613,
Belmondo Ristorante,"Riesstr. 86, 80993 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039619,4.5
Gerners Wirtshaus & Bar,"Dantestr. 33, 80637 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039621,4.0
Gran Sasso,"Ebenauer Str. 1, 80637 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1039622,4.0
